OBJECTID_1,FID_1,NCESID,NAME,ADDRESS,CITY,COUNTY,STATE,ZIP,TELEPHONE,NAICS_CODE,NAICS_DESC,LEVEL_,TYPE,STATUS,POPULATION,ENROLLMENT,FULL_TIME_,START_GRAD,END_GRADE,precinct
11,57858,360007703328,PS 89,201 WARREN ST,NEW YORK,NEW YORK COUNTY,NY,10282,(212) 571-5659,611110,Elementary and Secondary Schools,Primary,1,1,566,531,35,PK,05,1
12,95696,360007706065,NYC ISCHOOL,131 AVE OF THE AMERICAS,MANHATTAN,NEW YORK COUNTY,NY,10013,(917) 237-7300,611110,Elementary and Secondary Schools,High,1,1,459,433,26,09,12,1
13,98196,360007705764,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,26 BROADWAY,NEW YORK,NEW YORK COUNTY,NY,10004,(212) 668-0169,611110,Elementary and Secondary Schools,High,1,1,400,377,23,09,12,1
14,97746,360007706130,SPRUCE STREET SCHOOL,12 SPRUCE ST,NEW YORK,RICHMOND COUNTY,NY,10018,NOT AVAILABLE,611110,Elementary and Secondary Schools,Primary,5,1,267,253,14,PK,02,1
15,100833,360007706178,MANHATTAN ACADEMY FOR ARTS AND LANGUAGES,111 EAST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10016,(212) 576-0502,611110,Elementary and Secondary Schools,Other,1,1,189,177,12,09,10,1
16,97922,360007706158,BATTERY PARK CITY SCHOOL,55 BATTERY PLACE,NEW YORK,NEW YORK COUNTY,NY,10011,NOT AVAILABLE,611110,Elementary and Secondary Schools,Primary,5,1,585,552,33,PK,07,1
17,102902,360104306268,BROOME STREET ACADEMY CHARTER HIGH SCHOOL,THE DOOR 121 AVE OF THE AMERIC,NEW YORK,NEW YORK COUNTY,NY,10013,(212) 453-0295,611110,Elementary and Secondary Schools,Other,1,3,128,119,9,09,09,1
18,102914,360104506244,INNOVATE MANHATTAN CHARTER SCHOOL,52 CHAMBERS ST,NEW YORK,NEW YORK COUNTY,NY,10007,(212) 374-2301,611110,Elementary and Secondary Schools,Middle,1,3,152,139,13,06,07,1
19,57198,360007704402,MS 131,100 HESTER ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 219-1204,611110,Elementary and Secondary Schools,Middle,1,1,605,556,49,06,08,5
20,57214,360007705625,PACE HIGH SCHOOL,100 HESTER ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 334-4663,611110,Elementary and Secondary Schools,High,1,1,439,414,25,09,12,5
21,57219,360007702034,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,411 PEARL ST,NEW YORK,NEW YORK COUNTY,NY,10038,(212) 964-9610,611110,Elementary and Secondary Schools,High,1,1,2182,2065,117,09,12,5
22,57423,360007603352,CASCADES HIGH SCHOOL,198 FORSYTH ST 3RD FL,NEW YORK,NEW YORK COUNTY,NY,10002,(646) 654-1261,611110,Elementary and Secondary Schools,High,4,1,227,216,11,09,12,5
23,57979,360007702042,PS 1 ALFRED E SMITH,8 HENRY ST,NEW YORK,NEW YORK COUNTY,NY,10038,(212) 267-4133,611110,Elementary and Secondary Schools,Primary,1,1,557,518,39,PK,05,5
24,57989,360007702458,PS 124 YUNG WING,40 DIVISION ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 966-7237,611110,Elementary and Secondary Schools,Primary,1,1,981,920,61,PK,05,5
25,57990,360007702468,PS 126 JACOB AUGUST RIIS,80 CATHERINE ST,NEW YORK,NEW YORK COUNTY,NY,10038,(212) 962-2188,611110,Elementary and Secondary Schools,Primary,1,1,844,785,59,PK,08,5
26,57991,360007702480,PS 130 HERNANDO DE SOTO,143 BAXTER ST,NEW YORK,NEW YORK COUNTY,NY,10013,(212) 226-8072,611110,Elementary and Secondary Schools,Primary,1,1,1069,1015,54,PK,05,5
27,97927,360007706169,EMMA LAZARUS HIGH SCHOOL,100 HESTER ST,NEW YORK,NEW YORK COUNTY,NY,10002,NOT AVAILABLE,611110,Elementary and Secondary Schools,High,5,1,271,255,16,09,12,5
28,102772,360007606296,FORSYTHE SATELLITE ACADEMY,198 FORSYTH ST,NEW YORK,NEW YORK COUNTY,NY,10002,NOT AVAILABLE,611110,Elementary and Secondary Schools,Unknown,5,4,13,-2,13,N,N,5
29,58037,360007702184,PS 41 GREENWICH VILLAGE,116 WEST 11TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 675-2756,611110,Elementary and Secondary Schools,Primary,1,1,830,782,48,KG,05,6
30,57187,360007700649,HS 560 CITY AS SCHOOL,16 CLARKSON ST,NEW YORK,NEW YORK COUNTY,NY,10014,(212) 337-6800,611110,Elementary and Secondary Schools,High,4,1,645,609,36,10,12,6
31,57462,360007702049,PS 3 CHARRETTE SCHOOL,490 HUDSON ST,NEW YORK,NEW YORK COUNTY,NY,10014,(212) 691-1183,611110,Elementary and Secondary Schools,Primary,1,1,859,813,46,PK,05,6
32,57665,360007700583,LEGACY SCHOOL FOR INTEGRATED STUDIES,34 WEST 14TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 645-1980,611110,Elementary and Secondary Schools,High,1,1,327,300,27,09,12,6
33,57846,360007705768,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,26 BROADWAY 6TH FL,NEW YORK,NEW YORK COUNTY,NY,10004,(646) 826-8100,611110,Elementary and Secondary Schools,Middle,1,1,309,289,20,06,08,6
34,57890,360013502026,PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER,250 WEST HOUSTON ST,NEW YORK,NEW YORK COUNTY,NY,10014,(212) 675-7926,611110,Elementary and Secondary Schools,High,2,1,249,212,37,09,12,6
35,57166,360007600624,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,145 STANTON ST 4TH FL,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 505-6366,611110,Elementary and Secondary Schools,High,4,1,592,560,32,10,12,7
36,57168,360007604873,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH S",111 COLUMBIA ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 677-5190,611110,Elementary and Secondary Schools,Other,1,1,1694,1609,85,KG,12,7
37,57170,360007605614,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,220 HENRY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 406-9411,611110,Elementary and Secondary Schools,Other,1,1,457,423,34,06,12,7
38,57174,360007605616,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,220 HENRY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 267-5701,611110,Elementary and Secondary Schools,Middle,1,1,126,115,11,06,08,7
39,57177,360007605621,BARD HIGH SCHOOL EARLY COLLEGE,525 EAST HOUSTON ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 995-8479,611110,Elementary and Secondary Schools,High,1,1,646,617,29,09,12,7
40,57181,360007605863,"COLLABORATIVE ACAD OF SCIENCE, TECHNOLOGY AND LANG",220 HENRY ST,MANHATTAN,NEW YORK COUNTY,NY,10002,(212) 227-0762,611110,Elementary and Secondary Schools,Middle,1,1,267,245,22,06,08,7
41,57204,360007705499,NEW DESIGN HIGH SCHOOL,350 GRAND ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 475-4148,611110,Elementary and Secondary Schools,High,1,1,456,422,34,09,12,7
42,57209,360007705532,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,350 GRAND ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 475-4097,611110,Elementary and Secondary Schools,High,1,1,378,352,26,09,12,7
43,57213,360007705623,ESSEX STREET ACADEMY,350 GRAND ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 475-4773,611110,Elementary and Secondary Schools,High,1,1,362,343,19,09,12,7
44,57256,360007705770,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,350 GRAND ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 505-0745,611110,Elementary and Secondary Schools,High,1,1,329,310,19,09,12,7
45,57258,360007705771,LOWER MANHATTAN ARTS ACADEMY,350 GRAND ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 505-0143,611110,Elementary and Secondary Schools,High,1,1,359,336,23,09,12,7
46,57419,360007601275,MARTA VALLE HIGH SCHOOL,145 STANTON ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 473-8152,611110,Elementary and Secondary Schools,High,1,1,390,365,25,09,12,7
47,57428,360007603680,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,200 MONROE ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 962-4341,611110,Elementary and Secondary Schools,High,1,1,420,391,29,09,12,7
48,57751,360007602411,PS 110 FLORENCE NIGHTINGALE,285 DELANCEY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 674-2690,611110,Elementary and Secondary Schools,Primary,1,1,473,440,33,PK,05,7
49,57771,360007602492,PS 134 HENRIETTA SZOLD,293 EAST BROADWAY,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 673-4470,611110,Elementary and Secondary Schools,Primary,1,1,399,368,31,PK,05,7
50,57905,360013705766,MANHATTAN CHARTER SCHOOL,100 ATTORNEY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 533-2743,611110,Elementary and Secondary Schools,Primary,1,1,284,268,16,KG,05,7
51,57964,360007602104,PS 20 ANNA SILVER,166 ESSEX ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 254-9577,611110,Elementary and Secondary Schools,Primary,1,1,673,629,44,PK,05,7
52,57967,360007602502,PS 137 JOHN L BERNSTEIN,293 EAST BROADWAY,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 602-2140,611110,Elementary and Secondary Schools,Primary,1,1,252,230,22,PK,05,7
53,57968,360007602511,PS 140 NATHAN STRAUS,123 RIDGE ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 677-4680,611110,Elementary and Secondary Schools,Primary,1,1,436,407,29,PK,08,7
54,57969,360007602515,PS 142 AMALIA CASTRO,100 ATTORNEY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 598-3800,611110,Elementary and Secondary Schools,Primary,1,1,469,433,36,PK,05,7
55,57970,360007603508,PS 184 SHUANG WEN,327 CHERRY ST 2ND FL,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 602-9700,611110,Elementary and Secondary Schools,Primary,1,1,732,690,42,PK,08,7
56,57980,360007702047,PS 2 MEYER LONDON,122 HENRY ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 964-0350,611110,Elementary and Secondary Schools,Primary,1,1,882,816,66,PK,05,7
57,57988,360007702187,PS 42 BENJAMIN ALTMAN,71 HESTER ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 226-8410,611110,Elementary and Secondary Schools,Primary,1,1,860,807,53,PK,05,7
58,95689,360007606021,SCHOOL FOR GLOBAL LEADERS,145 STANTON ST,MANHATTAN,NEW YORK COUNTY,NY,10002,(212) 260-5375,611110,Elementary and Secondary Schools,Middle,1,1,294,271,23,06,08,7
59,57172,360007605615,THE EAST VILLAGE COMMUNITY SCHOOL,610 EAST 12TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 982-0682,611110,Elementary and Secondary Schools,Primary,1,1,261,243,18,PK,05,9
60,57176,360007605618,NEIGHBORHOOD SCHOOL,121 EAST 3RD ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 387-0195,611110,Elementary and Secondary Schools,Primary,1,1,337,315,22,PK,05,9
61,57179,360007605763,TECHNOLOGY ARTS AND SCIENCES STUDIO SCHOOL,185 1ST AVE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 982-1836,611110,Elementary and Secondary Schools,Middle,1,1,186,170,16,06,08,9
62,57237,360017105932,ROSS GLOBAL ACADEMY CHARTER SCHOOL,420 EAST 12TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 374-3884,611110,Elementary and Secondary Schools,Unknown,1,2,0,-2,-2,KG,08,9
63,57431,360007604869,PS 188 THE ISLAND SCHOOL,442 EAST HOUSTON ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 677-5710,611110,Elementary and Secondary Schools,Primary,1,1,423,389,34,PK,08,9
64,57528,360007705522,HARVEY MILK HIGH SCHOOL,2 10 ASTOR PLACE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 477-1555,611110,Elementary and Secondary Schools,High,1,1,76,68,8,09,12,9
65,57774,360007604868,PS 64 ROBERT SIMON,600 EAST 6TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 673-6510,611110,Elementary and Secondary Schools,Primary,1,1,354,325,29,PK,05,9
66,57855,360013504596,PS 94,442 EAST HOUSTON ST,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 533-8140,611110,Elementary and Secondary Schools,Primary,2,1,301,230,71,KG,08,9
67,57901,360013605765,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,442 EAST HOUSTON ST RM 312,NEW YORK,NEW YORK COUNTY,NY,10002,(212) 388-0241,611110,Elementary and Secondary Schools,Primary,1,1,495,459,36,KG,07,9
68,57961,360007600695,EAST SIDE COMMUNITY SCHOOL,420 EAST 12TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 460-8467,611110,Elementary and Secondary Schools,Other,1,1,642,597,45,06,12,9
69,57962,360007602087,PS 15 ROBERTO CLEMENTE,333 EAST 4TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 228-8730,611110,Elementary and Secondary Schools,Primary,1,1,212,189,23,PK,05,9
70,57963,360007602101,PS 19 ASHER LEVY,185 1ST AVE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 533-5340,611110,Elementary and Secondary Schools,Primary,1,1,362,329,33,PK,05,9
71,57965,360007602157,PS 34 FRANKLIN D ROOSEVELT,730 EAST 12TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 228-4433,611110,Elementary and Secondary Schools,Primary,1,1,443,403,40,PK,08,9
72,57966,360007602270,PS 63 WILLIAM MCKINLEY,121 EAST 3RD ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 674-3180,611110,Elementary and Secondary Schools,Primary,1,1,197,176,21,PK,05,9
73,57971,360007605617,THE CHILDREN S WORKSHOP SCHOOL,610 EAST 12TH ST,MANHATTAN,NEW YORK COUNTY,NY,10009,(212) 614-9531,611110,Elementary and Secondary Schools,Primary,1,1,271,247,24,PK,05,9
74,57972,360007605619,EARTH SCHOOL,600 EAST 6TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 477-1735,611110,Elementary and Secondary Schools,Primary,1,1,361,336,25,PK,05,9
75,57973,360007605620,TOMPKINS SQUARE MIDDLE SCHOOL,600 EAST 6TH ST,NEW YORK,NEW YORK COUNTY,NY,10009,(212) 995-1430,611110,Elementary and Secondary Schools,Middle,1,1,412,384,28,06,08,9
76,57995,360013502870,MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,113 EAST 4TH ST,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 477-2090,611110,Elementary and Secondary Schools,High,2,1,264,235,29,09,12,9
77,58026,360007702857,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,333 WEST 17TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 691-6119,611110,Elementary and Secondary Schools,High,1,1,610,579,31,09,12,10
78,58034,360007700637,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,250 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 691-0934,611110,Elementary and Secondary Schools,High,4,1,425,396,29,09,12,10
79,58036,360007702076,PS 11 WILLIAM T HARRIS,320 WEST 21ST ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 929-1743,611110,Elementary and Secondary Schools,Primary,1,1,751,700,51,PK,05,10
80,57190,360007702914,HUMANITIES PREPARATORY ACADEMY,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 929-4433,611110,Elementary and Secondary Schools,High,1,1,204,191,13,09,12,10
81,57196,360007704401,BAYARD RUSTIN EDUCATIONAL COMPLEX,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 675-5350,611110,Elementary and Secondary Schools,High,1,1,213,200,13,09,12,10
82,57211,360007705539,NYC LAB MS FOR COLLABORATIVE STUDIES,333 WEST 17TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 691-6119,611110,Elementary and Secondary Schools,Middle,1,1,609,575,34,06,08,10
83,57471,360007702152,PS 33 CHELSEA PREP,281 9TH AVE,NEW YORK,NEW YORK COUNTY,NY,10001,(212) 244-6426,611110,Elementary and Secondary Schools,Primary,1,1,491,459,32,PK,05,10
84,57672,360007701949,THE HIGH SCHOOL OF FASHION INDUSTRIES,225 WEST 24TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 255-1235,611110,Elementary and Secondary Schools,High,3,1,1675,1596,79,09,12,10
85,57687,360007704410,MS 260 CLINTON SCHOOL WRITERS AND ARTISTS,425 WEST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10001,(212) 695-9114,611110,Elementary and Secondary Schools,Middle,1,1,276,256,20,06,08,10
86,57850,360007705772,JAMES BALDWIN SCHOOL A SCHOOL FOR EXPEDITIONARY LR,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 627-2812,611110,Elementary and Secondary Schools,High,1,1,261,243,18,09,12,10
87,58000,360007702871,NYC MUSEUM SCHOOL,333 WEST 17TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 675-6206,611110,Elementary and Secondary Schools,High,1,1,461,436,25,09,12,10
88,97567,360007706108,MANHATTAN BUSINESS ACADEMY,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,NOT AVAILABLE,611110,Elementary and Secondary Schools,Other,5,1,354,332,22,09,11,10
89,100842,360007706193,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 488-3330,611110,Elementary and Secondary Schools,Other,1,1,242,226,16,09,10,10
90,57220,360007702177,PS 40 AUGUSTUS SAINT GAUDENS,320 EAST 19TH ST,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 475-5500,611110,Elementary and Secondary Schools,Primary,1,1,657,616,41,PK,05,13
91,57455,360007701720,INSTITUTE FOR COLLABORATIVE EDUCATION,345 EAST 15TH ST,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 475-7972,611110,Elementary and Secondary Schools,Other,1,1,515,489,26,06,12,13
92,57524,360007704454,AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOO,225 EAST 23RD ST,NEW YORK,NEW YORK COUNTY,NY,10010,(917) 326-6668,611110,Elementary and Secondary Schools,High,1,1,191,175,16,09,12,13
93,57668,360007700691,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SVCS,345 EAST 15TH ST,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 780-9175,611110,Elementary and Secondary Schools,High,1,1,1834,1763,71,09,12,13
94,57685,360007704408,MS 255 SALK SCHOOL OF SCIENCE,320 EAST 19TH ST,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 614-8785,611110,Elementary and Secondary Schools,Middle,1,1,408,386,22,06,08,13
95,57842,360007705767,THE 47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SC,225 EAST 23RD ST,NEW YORK,NEW YORK COUNTY,NY,10010,(914) 326-6609,611110,Elementary and Secondary Schools,Primary,1,1,256,215,41,PK,08,13
96,57856,360007702862,SCHOOL OF THE FUTURE HIGH SCHOOL,127 EAST 22ND ST,NEW YORK,NEW YORK COUNTY,NY,10010,(212) 475-8086,611110,Elementary and Secondary Schools,Other,1,1,716,673,43,06,12,13
97,57894,360013502733,PS 226,345 EAST 15TH ST RM 202,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 477-5017,611110,Elementary and Secondary Schools,Other,2,1,369,299,70,PK,12,13
98,57974,360007700584,MANHATTAN VILLAGE ACADEMY,43 WEST 22ND ST,NEW YORK,NEW YORK COUNTY,NY,10010,(212) 242-8752,611110,Elementary and Secondary Schools,High,1,1,455,429,26,09,12,13
99,57981,360007702885,WASHINGTON IRVING HIGH SCHOOL,40 IRVING PLACE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 674-5000,611110,Elementary and Secondary Schools,High,1,1,1108,1039,69,09,12,13
100,57983,360007704447,JHS 104 SIMON BARUCH,330 EAST 21ST ST,NEW YORK,NEW YORK COUNTY,NY,10010,(212) 674-4545,611110,Elementary and Secondary Schools,Middle,1,1,1123,1057,66,06,08,13
101,57984,360007704778,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,240 2ND AVE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 353-2010,611110,Elementary and Secondary Schools,High,2,1,826,791,35,10,12,13
102,57985,360007705112,BALLET TECH NYC PS FOR DANCE,890 BROADWAY,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 254-1803,611110,Elementary and Secondary Schools,Middle,3,1,163,154,9,04,08,13
103,57999,360007702856,BARUCH COLLEGE CAMPUS HIGH SCHOOL,55 EAST 25TH ST,NEW YORK,NEW YORK COUNTY,NY,10010,(212) 683-7440,611110,Elementary and Secondary Schools,High,1,1,456,432,24,09,12,13
104,95699,360007706077,GRAMERCY ARTS HIGH SCHOOL,40 IRVING PLACE,MANHATTAN,NEW YORK COUNTY,NY,10003,(212) 253-7076,611110,Elementary and Secondary Schools,High,1,1,525,494,31,09,12,13
105,97565,360007706105,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 IRVING PLACE,NEW YORK,NEW YORK COUNTY,NY,10003,NOT AVAILABLE,611110,Elementary and Secondary Schools,Other,5,1,260,241,19,09,11,13
106,97569,360007706125,QUEST TO LEARN,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,NOT AVAILABLE,611110,Elementary and Secondary Schools,Middle,5,1,249,232,17,06,08,13
107,100840,360007706191,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,40 IRVING PLACE,NEW YORK,NEW YORK COUNTY,NY,10003,(212) 533-2560,611110,Elementary and Secondary Schools,Other,1,1,187,175,12,09,10,13
108,57450,360007701713,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,123 WEST 43RD ST,NEW YORK,NEW YORK COUNTY,NY,10036,(212) 382-1875,611110,Elementary and Secondary Schools,High,1,1,226,216,10,09,12,14
109,57975,360007700668,SATELLITE ACADEMY HIGH SCHOOL,120 WEST 30TH ST,NEW YORK,NEW YORK COUNTY,NY,10001,(646) 674-2800,611110,Elementary and Secondary Schools,High,4,1,261,248,13,09,12,14
110,57978,360007702039,NORMAN THOMAS HIGH SCHOOL,111 EAST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10016,(212) 576-0500,611110,Elementary and Secondary Schools,High,1,1,1187,1131,56,09,12,14
111,100848,360007706207,MURRAY HILL ACADEMY,111 EAST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10016,(212) 696-0195,611110,Elementary and Secondary Schools,Other,1,1,234,214,20,09,10,14
112,57674,360007702253,PS 59 BEEKMAN HILL INTERNATIONAL,213 EAST 63RD ST,NEW YORK,NEW YORK COUNTY,NY,10065,(212) 888-7870,611110,Elementary and Secondary Schools,Primary,1,1,558,520,38,KG,05,17
113,57782,360007702433,PS 116 MARY LINDLEY MURRAY,210 EAST 33RD ST,NEW YORK,NEW YORK COUNTY,NY,10016,(212) 685-4366,611110,Elementary and Secondary Schools,Primary,1,1,834,789,45,KG,05,17
114,57977,360007701911,ART AND DESIGN HIGH SCHOOL,1075 2ND AVE,NEW YORK,NEW YORK COUNTY,NY,10022,(212) 752-4340,611110,Elementary and Secondary Schools,High,3,1,1412,1342,70,09,12,17
115,56303,360007705566,INDEPENDENCE HIGH SCHOOL,850 10TH AVE,NEW YORK,NEW YORK COUNTY,NY,10019,(212) 262-8067,611110,Elementary and Secondary Schools,High,4,1,414,392,22,10,12,18
116,58002,360007704519,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,439 WEST 49TH ST,NEW YORK,NEW YORK COUNTY,NY,10019,(212) 245-5925,611110,Elementary and Secondary Schools,High,3,1,1510,1428,82,09,12,18
117,58038,360007702225,PS 51 ELIAS HOWE,323 EAST 91ST ST,NEW YORK,NEW YORK COUNTY,NY,10128,(212) 534-1627,611110,Elementary and Secondary Schools,Primary,1,1,311,288,23,KG,05,18
118,58039,360007702414,PS 111 ADOLPH S OCHS,440 WEST 53RD ST,NEW YORK,NEW YORK COUNTY,NY,10019,(212) 582-7420,611110,Elementary and Secondary Schools,Primary,1,1,637,587,50,PK,08,18
119,57184,360007700582,LANDMARK HIGH SCHOOL,351 WEST 18TH ST,NEW YORK,NEW YORK COUNTY,NY,10011,(212) 647-7410,611110,Elementary and Secondary Schools,High,1,1,440,413,27,09,12,18
120,57206,360007705500,MANHATTAN BRIDGES HIGH SCHOOL,525 WEST 50TH ST,NEW YORK,NEW YORK COUNTY,NY,10019,(212) 757-5274,611110,Elementary and Secondary Schools,High,1,1,575,541,34,09,12,18
